cDC1,cDC2,pDC,Eos,Mon,Neu,B
31,42,18,20,72,152,12
134,186,88,179,458,817,139
22,32,14,32,51,41,146
0,9,1,0,0,0,17412
0,0,0,0,0,0,767
12,18,10,13,1,6,0
22,33,9,5,1,8,464
0,0,0,0,0,0,4330
37,53,13,6,3,20,291
20,45,17,12,81,76,66
27,25,11,19,38,65,2736
0,0,0,0,0,0,8
12,17,20,44,36,17,5
36,31,27,66,271,167,1038
0,0,0,0,0,0,1774
0,0,0,0,0,0,4692
16,48,10,7,2,12,17
0,0,0,2,5,0,1172
0,0,0,0,0,0,3424
0,1,0,0,0,0,931
97,115,41,129,276,419,13241
0,8,4,3,3,1,16684
95,121,48,47,63,141,0
0,0,0,0,0,0,3925
8,9,11,20,43,36,4686
10,0,0,1,0,0,0
31,37,14,15,12,46,0
0,5,1,4,3,1,4086
0,0,0,0,0,0,6063
8,4,8,3,0,0,0
16,17,4,11,47,52,11839
20,9,20,9,14,9,0
0,0,0,0,0,0,2989
0,0,0,0,0,0,4836
12,34,26,10,14,20,1385
22,14,27,43,48,32,11275
2,7,5,1,1,3,44
27,8,13,23,30,18,0
19,27,11,52,152,220,8
0,0,0,2,12,6,7315
1,19,11,11,44,14,14111
0,0,0,0,0,0,13079
36,47,36,48,103,79,1727
77,36,30,9,16,20,0
0,0,0,0,0,0,2036
72,59,55,65,100,147,360
16,17,4,10,16,64,3
4,10,2,13,49,64,9337
0,0,0,0,0,0,7926
58,27,9,11,9,30,0
76,58,39,92,126,182,768
33,62,10,8,11,14,0
102,26,13,7,4,19,0
6,3,6,28,296,164,211
10,1,7,14,3,2,0
32,51,30,45,68,94,8203
0,0,0,0,0,0,6299
9,6,1,1,3,1,0
26,16,14,16,43,55,11
0,1,0,0,0,3,0
0,0,0,0,0,0,4823
72,61,40,120,267,351,49
0,0,0,0,0,0,10394
34,22,39,64,83,128,71
127,138,85,80,147,309,280
29,38,44,27,25,32,18
6,12,16,29,60,58,22
2,0,3,0,1,0,1653
40,13,1,3,0,4,0
9,3,5,3,0,2,0
28,24,23,42,118,47,5038
0,0,0,0,0,0,19942
46,41,9,55,267,247,18627
15,5,4,1,17,52,864
0,0,0,0,0,0,77
38,20,13,69,162,400,301
28,15,7,3,1,3,0
13,8,4,3,6,10,5
0,11,4,2,5,20,0
0,0,0,0,0,0,4639
10,4,6,31,19,0,0
0,0,0,0,0,0,3640
56,37,33,65,106,269,25
223,236,162,202,373,465,3170
3,4,0,11,36,29,56
3,2,3,2,3,0,7230
14,16,20,31,19,13,263
11,22,3,3,25,12,13714
0,0,1,1,0,0,0
0,0,0,0,0,0,7132
0,0,0,0,0,0,110
0,0,0,0,0,0,224
1,3,0,0,2,0,25177
10,28,10,11,38,17,4017
0,2,1,5,5,52,1
0,0,0,0,0,0,7485
