cDC1,cDC2,pDC,Eos,Mon,Neu,B
3,3,0,2,13,8,0
4,7,9,9,6,10,78
0,0,0,0,0,0,3752
2,22,9,3,10,7,218
4,0,1,1,1,5,23
0,0,0,0,0,0,7
0,0,0,0,0,0,5879
24,1,3,0,2,8,0
0,0,1,0,0,0,954
25,27,21,18,34,111,462
27,29,22,25,46,120,1528
1,0,0,0,0,0,0
0,18,2,0,0,0,1444
49,39,12,42,63,103,199
7,0,0,19,30,1,29
19,12,12,23,69,47,4429
11,0,0,0,8,3,21
0,0,0,0,0,0,757
39,6,10,0,4,15,9091
0,0,0,0,0,0,288
18,0,0,1,5,0,0
5,13,15,3,11,19,1696
0,1,1,1,3,13,0
7,12,2,17,26,43,0
0,53,2,0,1,8,0
0,0,0,0,0,0,1474
3,17,8,13,31,26,41
0,0,0,0,0,0,4976
0,0,0,0,0,0,1140
2,14,0,3,14,4,0
0,0,0,0,0,0,6777
1,6,9,0,0,3,0
5,11,1,31,35,25,0
0,0,0,0,0,0,2309
18,4,0,9,21,23,536
19,32,12,81,155,147,23
45,22,2,6,13,60,0
52,4,8,12,51,191,0
0,0,0,0,0,0,132
30,1,4,22,25,105,0
0,0,0,0,0,0,3834
0,0,0,0,0,0,836
0,0,0,0,0,0,5409
1,23,7,1,0,9,0
0,0,0,2,9,4,6096
0,0,0,0,0,0,630
0,37,0,0,0,0,0
0,51,7,4,10,34,0
0,0,0,0,0,0,4149
14,0,0,0,1,10,0
0,8,2,3,16,4,500
0,0,0,0,0,0,905
0,0,0,0,0,0,282
11,0,0,6,5,5,0
0,0,0,0,0,0,503
23,39,3,27,56,123,0
12,18,8,9,18,88,0
11,4,4,3,13,49,1
6,2,6,12,13,15,611
0,4,1,0,1,1,0
0,0,0,4,1,0,0
0,0,0,0,0,0,3628
16,0,1,4,16,13,0
0,0,0,0,0,0,2319
0,18,22,5,23,8,1197
55,12,12,63,71,197,140
8,8,4,36,11,46,25
0,50,1,0,0,0,0
0,1,1,0,0,0,0
0,0,0,0,0,0,1003
6,2,9,6,33,15,3925
19,8,13,7,17,82,0
0,2,9,0,0,3,4656
0,0,0,0,0,0,1686
0,0,1,0,0,0,1837
4,8,1,5,25,36,252
12,5,0,9,47,36,0
7,34,13,1,6,20,754
8,12,1,31,42,22,0
0,1,1,0,3,0,0
0,0,0,0,0,0,2078
0,0,0,0,0,0,256
0,0,1,0,0,0,0
7,29,7,104,67,30,210
0,0,0,0,0,0,1767
0,0,0,0,0,0,775
1,10,3,8,1,4,28
0,0,0,1,2,9,6
